"[AG-409] BÁO CÁO CHI TIẾT TIẾN ĐỘ ĐƠN HÀNG NĂM 2025","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","42","","","","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","CỬA HÀNG","","SỐ PO","","THÔNG TIN ĐƠN HÀNG","","","","","","","THỰC HIỆN ĐƠN HÀNG","","","TIẾN ĐỘ ĐƠN HÀNG","","","","","",""
"","","","","KHÁCH HÀNG","","LOẠI SẢN PHÂM","MÃ SẢN PHẨM","TÊN SẢN PHẨM","LOẠI VÀNG","QUY CÁCH 
(Độ dài/Đường kính)","SỐ LƯỢNG
(Sợi/Viên)","TỔNG TRỌNG LƯỢNG
(Gram)","DEADLINE ĐƠN HÀNG","NGÀY ĐỀ XUẤT NVL","NGÀY NHẬN NVL","NGÀY BẮT ĐẦU THỰC HIỆN","ĐÃ GIAO","TIẾN ĐỘ HOÀN THÀNH","TRẠNG THÁI ĐƠN HÀNG","NGÀY HOÀN TẤT","","",""
"[1]","[2]","[3]","[4]","","[5]","","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","","[16]","[17]","[18]","","",""
"TỔNG","","","","","70","","","","","","1122","5307.35","0","0","0","0","392","","","","","",""
"1","THÁNG 01","04/01/2025","PKD SĨ","","DHAG-25/01/01","BB","BBY4","Lắc Bi 4.0mm ( Khắc Máy Kim Cương )","610Y","15-17","10","","22/01/2025","","","","10","Đã giao đủ","HOÀN TẤT","05/02/2025","","",""
"2","THÁNG 01","04/01/2025","PKD SĨ","","DHAG-25/01/01","BB","BBY3","Lắc Bi 3.0mm ( Khắc Xoáy )","610Y","15-17","10","","22/01/2025","","","","10","Đã giao đủ","HOÀN TẤT","22/01/2025","","",""
"3","THÁNG 01","04/01/2025","PKD SĨ","","DHAG-25/01/01","BB","BBY2.54","Lắc Bi 2.5/4.0mm 
( 2.5mm Khắc Xoáy)
( 4.0mm Khắc Kim Cương )","610Y","15-17","10","","22/01/2025","","","","10","Đã giao đủ","HOÀN TẤT","05/02/2025","","",""
"4","THÁNG 01","04/01/2025","PKD SĨ","","DHAG-25/01/01","BB","GBY3-01","Vòng bi 1 tầng, size bi 3.0mm
( Khắc máy Kim Cương )","610Y","50-52","5","","22/01/2025","","","","5","Đã giao đủ","HOÀN TẤT","22/01/2025","","",""
"5","THÁNG 01","04/01/2025","PKD SĨ","","DHAG-25/01/01","BB","GBY3-02","Vòng bi 2 tầng, size bi 3.0mm
( Khắc máy Kim Cương )","610Y","50-52","5","","22/01/2025","","","","5","Đã giao đủ","HOÀN TẤT","22/01/2025","","",""
"6","THÁNG 01","04/01/2025","PKD SĨ","","DHAG-25/01/01","BB","GBY3-03","Vòng bi 3 tầng, size bi 3.0mm
( Khắc máy Kim Cương )","610Y","50-52","3","","22/01/2025","","","","3","Đã giao đủ","HOÀN TẤT","22/01/2025","","",""
"7","THÁNG 01","07/01/2025","PKD SĨ","","DHAG-25/01/03","DD","CW30FS","Dây Franco Vuông 0.30","750W","43-45","10","37.5","","","","","11","Đã giao đủ","HOÀN TẤT","13/02/2025","","",""
"8","THÁNG 01","07/01/2025","PKD SĨ","","DHAG-25/01/03","DD","CW40FS","Dây Franco Vuông 0.40","750W","45-47","5","37.5","","","","","6","Đã giao đủ","HOÀN TẤT","13/02/2025","","",""
"9","THÁNG 01","07/01/2025","PKD SĨ","","DHAG-25/01/03","DD","CW50FS","Dây Franco Vuông 0.50","750W","45-47","5","56.25","","","","","6","Đã giao đủ","HOÀN TẤT","05/02/2025","","",""
"10","THÁNG 01","07/01/2025","PKD SĨ","","DHAG-25/01/03","DD","CW60FS","Dây Franco Vuông 0.60","750W","48-50","3","45","","","","","3","Đã giao đủ","HOÀN TẤT","22/01/2025","","",""
"11","THÁNG 01","07/01/2025","PKD SĨ","","DHAG-25/01/03","DD","CW70FS","Dây Franco Vuông 0.70","750W","48-50","3","56.25","","","","","3","Đã giao đủ","HOÀN TẤT","13/02/2025","","",""
"12","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY60CU","Dây Khoen lật 0.6mm","610Y","","10","","","","","","12","Đã giao đủ","HOÀN TẤT","27/02/2025","","",""
"13","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY70CU","Dây Khoen lật 0.7mm","610Y","","10","","","","","","9","Đã giao đủ","HOÀN TẤT","13/02/2025","","",""
"14","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY35FS","Dây Franco vuông 0.35mm","610Y","","10","","","","","","13","Đã giao đủ","HOÀN TẤT","27/02/2025","","",""
"15","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY40FS","Dây Franco vuông 0.4 mm","610Y","","10","","","","","","16","Đã giao đủ","HOÀN TẤT","24/02/2025","","",""
"16","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY50FS","Dây Franco vuông 0.5 mm","610Y","","10","","","","","","11","Đã giao đủ","HOÀN TẤT","24/02/2025","","",""
"17","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY60FS","Dây Franco vuông 0.6 mm","610Y","","10","38.00","","","","","11","Đã giao đủ","HOÀN TẤT","24/02/2025","","",""
"18","THÁNG 01","06/01/2025","PKD SĨ","","DHAG-25/01/02","DD","CY70FS","Dây Franco vuông 0.7 mm","610Y","","10","68.00","","","","","11","Đã giao đủ","HOÀN TẤT","27/02/2025","","",""
"19","THÁNG 01","16/01/2025","CH2","","DHAG-25/01/05","BB","BBW346","Lắc bi 3.0/4.0/6.0","750W","","1","8.55","18/01/2025","","","","1","Đã giao đủ","HOÀN TẤT","17/01/2025","","",""
"20","THÁNG 01","11/01/2025","CH1","","DHAG-25/01/04","BB","BBY2.54","Lắc bi 2.5/4.0","750Y","15-17","10","60.00","","","","","10","Đã giao đủ","HOÀN TẤT","20/02/2025","","",""
"21","THÁNG 01","11/01/2025","CH1","","DHAG-25/01/04","BB","BBY2.5","Lắc bi 2.5","750Y","15-17","10","66.00","","","","","10","Đã giao đủ","HOÀN TẤT","20/02/2025","","",""
"22","THÁNG 01","11/01/2025","CH1","","DHAG-25/01/06","BB","GBY3","Vòng xoắn bi 3.0 quấn 3 vòng","750Y","48","1","","20/02/2025","","","","1","Đã giao đủ","HOÀN TẤT","13/02/2025","","",""
"23","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY35CA1","Dây Chữ Cong , size 0.35mm","610Y","35-36","20","34.00","Theo tiến độ sx","","","","21","Đã giao đủ","HOÀN TẤT","22/02/2025","","",""
"24","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY35CA1","Dây Chữ Cong , size 0.35mm","610Y","42-44","20","36.00","Theo tiến độ sx","","","","19","Đã giao đủ","HOÀN TẤT","22/02/2025","","",""
"25","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY35CA4","Dây Chữ Cong Khế  0.35mm","610Y","42-44","20","","Theo tiến độ sx","","","","10","Đã giao: 10 sợi ngày 28/02/2025","NGƯNG SX","","","* Chú thích:",""
"26","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY40CA4","Dây Chữ Cong Khế  0.40mm","610Y","43-45","20","44.00","Theo tiến độ sx","","","","13","Đã giao: 12 sợi ngày 19/02/2025
            + 1 sợi ngày 22/02/2025","NGƯNG SX","","","",""
"27","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY45CA4","Dây Chữ Cong Khế  0.45mm","610Y","44-46","20","","Theo tiến độ sx","","","","","","NGƯNG SX","","","","Đang tồn kho cbi xi mạ"
"28","THÁNG 02","10/02/2025","PKD SĨ","","DHAG-25/02/02","DD","CY50CA4","Dây Chữ Cong Khế  0.50mm","610Y","45-47","20","","Theo tiến độ sx","","","","16","Đã giao: 16 sợi ngày 09/04/2025","NGƯNG SX","","","","Đang trong quá trình ra dây"
